city,minority_night_air_temp,white_night_air_temp,minority_afternoon_air_temp,white_afternoon_air_temp,minority_morning_air_temp,white_morning_air_temp,under_5_night_air_temp,under_5_afternoon_air_temp,under_5_morning_air_temp,over_5_night_air_temp,over_5_afternoon_air_temp,over_5_morning_air_temp,dependant_night_air_temp,dependant_afternoon_air_temp,dependant_morning_air_temp,non_dependant_night_air_temp,non_dependant_afternoon_air_temp,non_dependant_morning_air_temp,disability_night_air_temp,disability_afternoon_air_temp,disability_morning_air_temp,no_disability_night_air_temp,no_disability_afternoon_air_temp,no_disability_morning_air_temp,region,climate_zone,total_population
"Abingdon, VA",0.4201190000000001,0.420119,0.098588,0.098588,0.05102,0.05102,0.420119,0.098588,0.05102,0.420119,0.098588,0.051019999999999996,0.4201190000000001,0.098588,0.05102,0.4201190000000001,0.098588,0.051019999999999996,0.42011899999999996,0.098588,0.05102,0.420119,0.098588,0.05102,South,Temperate,3926
"Annapolis, MD",0.23036811831480242,0.19382248000912167,0.28092594116524444,0.24902844919009154,-0.076712624,-0.11734596,0.22273869891428455,0.27866463544323106,-0.078462433,0.2067054028375797,0.2599253057606386,-0.103554114,0.18248645424189391,0.23923674767244416,-0.11516253,0.2232316859838047,0.2746351898316449,-0.09358739,0.22696708050288686,0.2706586035803355,-0.072100898,0.20454703248304515,0.2596633164561878,-0.10688725,South,Temperate,17723
"Arlington, VA",0.3687958867274278,0.3690829682619144,0.24558436979118725,0.2910615147904388,0.2038243862720482,0.223271116,0.14538293346660808,0.092993213,-0.003180936,0.38309813452394065,0.28495669448794025,0.22961625522719964,0.061502988,0.0781428,-0.059104114,0.4902487886904593,0.35062477597612296,0.3242074951164143,0.27063447307527544,0.237368489,0.1245464838981696,0.3751695464911453,0.27582976879932725,0.22153237303502749,South,Temperate,233464
"Atlanta, GA",0.7102083055992514,0.8813872205870343,0.3137132857137023,-0.139550045,0.34543312618492544,0.46458438426806986,0.21865574718197447,0.045404164,0.031534719,0.8168693297891312,0.11545251616780661,0.4181611633035786,0.11256087896142093,0.016550887,0.029482119882483292,1.0508947827236228,0.14930402946533003,0.543307166,0.4466317520561626,0.2202248833082058,0.21971718975021082,0.8277948780660696,0.098699667,0.4202505308766791,South,Temperate,433402
"Baltimore, MD",0.7077647299768324,0.48456203960236843,0.6508277012142878,0.4571483657379847,0.3548535044990204,0.24798759040612006,0.6449418049342343,0.5900439198084289,0.34215153784146307,0.6146690892551635,0.5704695026354278,0.3091070838719671,0.5509273430154523,0.5167881206833729,0.23933904209985848,0.6532638367123297,0.602388988,0.3513417633569152,0.6990698682925414,0.6445379623367399,0.3740811042247495,0.6029081498574395,0.5596325688373017,0.30077160804365927,South,Temperate,1036776
"Boise, ID",0.006662914,-0.034480176,0.15239731095716022,0.021871919,0.4869999720217741,0.20071292342318572,-0.020571684,0.054229054709783016,0.26620776942016633,-0.027795153,0.043821423,0.2492007368895079,-0.026641411,0.033966643212886054,0.19943241611909107,-0.027806881,0.050787,0.2809930397949111,-0.025813263,0.13596319325008738,0.41059215218294887,-0.027563365,0.03287027,0.2299375632683882,West,Arid,424378
"Boston, MA",1.0619131970423326,0.6170057221018026,0.8569500536807232,0.4482384681051328,0.5368482335229833,0.32833323794048097,0.789254995,0.640513477,0.37972283102567234,0.8159271805528578,0.6290937511004056,0.4231845772326611,0.6112121401077146,0.4955686130996172,0.2789682385205606,0.9029888296021481,0.6880470412854024,0.4826615194555628,0.9132866031285792,0.6843687773298999,0.44036218016217604,0.8025292574991584,0.6230485397402886,0.4185426485938512,North,Snow,1723252
"Boulder, CO",0.098895346,-0.069471016,0.2948864624576677,0.21734833099361148,0.055003643365826554,-0.034595721,-0.214410853,0.076790511,-0.650040585,-0.027611733,0.2388127207936338,0.003629964,-0.248818925,0.10324131087446999,-0.694394525,0.027983750259811237,0.2711311529702422,0.17669271739030745,-0.081913655,0.2354002013685877,-0.262386491,-0.029583395,0.23406341263671712,0.002017334,West,Snow,88402
"Charleston, SC",0.7416471465308813,0.3261224947839979,0.7469457436790689,0.35425954450998776,0.37781316358152195,0.22270123776528986,0.34378157985752283,0.49541794078331686,0.22138004177737688,0.5066206102936692,0.5171577891364527,0.2905678995018531,0.37089877753786804,0.5017674775098462,0.2347279793297587,0.5564435581139978,0.5225278791248195,0.31087940033113626,0.5284615633641107,0.5737583736460335,0.3021048667275021,0.49321730730193486,0.5086100986320954,0.2845888979766796,South,Temperate,167888
"Charlottesville, VA",0.35627066178051453,0.2953340702897692,0.085667305,0.061859033,0.2633138311060476,0.2321167655102001,0.011337234630536321,-0.073390019,-0.073847558,0.3314796495249635,0.07718667,0.25858989030013807,0.14989033703431384,0.014715647025749325,0.044313343,0.37290185370893836,0.088875345,0.3103398000167834,0.34766064523191514,0.15409668643534133,0.1929307518446293,0.3134036338590633,0.062177937,0.2475623259920299,South,Temperate,50100
